INFO 2015-09-28 21:10:55,121 writers 25993 -1261003888 starting zilberBonusFlows
DEBUG 2015-09-28 21:10:55,121 writers 25993 -1261003888 {'base_madad': 127.3}
INFO 2015-09-28 21:10:55,122 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - פעמוני החורש -צור יצחק בגיו חודש 8-2015
INFO 2015-09-28 21:10:55,405 writers 25993 -1261003888 starting to write bonus for sale #5650
WARNING 2015-09-28 21:10:55,411 writers 25993 -1261003888 sale #5650 has no commission details
INFO 2015-09-28 21:10:55,419 writers 25993 -1261003888 starting to write bonus for sale #5651
WARNING 2015-09-28 21:10:55,426 writers 25993 -1261003888 sale #5651 has no commission details
INFO 2015-09-28 21:10:55,461 writers 25993 -1261003888 starting to write bonus for sale #5652
WARNING 2015-09-28 21:10:55,468 writers 25993 -1261003888 sale #5652 has no commission details
INFO 2015-09-28 21:10:55,475 writers 25993 -1261003888 starting to write bonus for sale #5653
WARNING 2015-09-28 21:10:55,482 writers 25993 -1261003888 sale #5653 has no commission details
INFO 2015-09-28 21:10:55,489 writers 25993 -1261003888 starting to write bonus for sale #5654
WARNING 2015-09-28 21:10:55,496 writers 25993 -1261003888 sale #5654 has no commission details
INFO 2015-09-28 21:10:55,503 writers 25993 -1261003888 starting to write bonus for sale #5655
WARNING 2015-09-28 21:10:55,510 writers 25993 -1261003888 sale #5655 has no commission details
INFO 2015-09-28 21:10:55,517 writers 25993 -1261003888 starting to write bonus for sale #5656
WARNING 2015-09-28 21:10:55,524 writers 25993 -1261003888 sale #5656 has no commission details
INFO 2015-09-28 21:10:55,560 writers 25993 -1261003888 starting to write bonus for sale #5657
WARNING 2015-09-28 21:10:55,567 writers 25993 -1261003888 sale #5657 has no commission details
INFO 2015-09-28 21:10:55,575 writers 25993 -1261003888 starting to write bonus for sale #5658
WARNING 2015-09-28 21:10:55,581 writers 25993 -1261003888 sale #5658 has no commission details
INFO 2015-09-28 21:10:55,589 writers 25993 -1261003888 starting to write bonus for sale #5659
WARNING 2015-09-28 21:10:55,596 writers 25993 -1261003888 sale #5659 has no commission details
INFO 2015-09-28 21:10:55,606 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - פעמוני החורש -צור יצחק בגיו חודש 7-2015
INFO 2015-09-28 21:10:55,907 writers 25993 -1261003888 starting to write bonus for sale #5572
INFO 2015-09-28 21:10:55,924 writers 25993 -1261003888 starting to write bonus for sale #5573
WARNING 2015-09-28 21:10:55,930 writers 25993 -1261003888 sale #5573 has no commission details
INFO 2015-09-28 21:10:55,964 writers 25993 -1261003888 starting to write bonus for sale #5574
WARNING 2015-09-28 21:10:55,971 writers 25993 -1261003888 sale #5574 has no commission details
INFO 2015-09-28 21:10:55,978 writers 25993 -1261003888 starting to write bonus for sale #5575
WARNING 2015-09-28 21:10:55,985 writers 25993 -1261003888 sale #5575 has no commission details
INFO 2015-09-28 21:10:55,992 writers 25993 -1261003888 starting to write bonus for sale #5576
WARNING 2015-09-28 21:10:55,999 writers 25993 -1261003888 sale #5576 has no commission details
INFO 2015-09-28 21:10:56,006 writers 25993 -1261003888 starting to write bonus for sale #5577
WARNING 2015-09-28 21:10:56,013 writers 25993 -1261003888 sale #5577 has no commission details
